,AUD,BRL,CAD,CHF,CZK,EUR,GBP,HUF,IDR,INR,JPY,KRW,MXN,NOK,NZD,PHP,PLN,SEK,SGD,THB,TRY,ZAR,CLP,COP,PEN
2014-10-31,1.1377,2.4524,1.1274,0.96351,22.173,0.79847,0.6262,246.14,12113,61.365,111.93,1072.68,13.471,6.779,1.2811,44.998,3.3677,7.3989,1.2864,32.603,2.2173,10.9803,,,
2014-11-03,1.1484,2.4899,1.1286,0.96486,22.243,0.80045,0.62503,247.05,12127,61.405,113.82,1077.32,13.499,6.775,1.2912,44.997,3.3769,7.3881,1.2893,32.67,2.2284,11.035,,,
2014-11-04,1.1461,2.5243,1.1416,0.96332,22.206,0.79911,0.62482,246.99,12114,61.405,113.44,1077.81,13.6495,6.8543,1.2901,44.966,3.3761,7.4016,1.29,32.67,2.2268,11.0516,,,
2014-11-05,1.1614,2.5183,1.1443,0.96498,22.294,0.80128,0.62845,247.64,12199,61.499,114.75,1090.41,13.6085,6.8702,1.2929,45.103,3.3923,7.3849,1.2957,32.847,2.2371,11.1378,,,
2014-11-06,1.1608,2.5392,1.1409,0.96229,22.185,0.79891,0.62807,247.68,12152,61.483,114.51,1087.01,13.5755,6.8039,1.2918,45.035,3.3725,7.3522,1.2919,32.823,2.2386,11.1225,,,
2014-11-07,1.1634,2.5811,1.1432,0.97152,22.355,0.80691,0.63213,250.01,12196,61.636,115.3,1094.5,13.6322,6.8559,1.2988,45.036,3.4119,7.4336,1.2956,32.877,2.2746,11.2999,586.25,2099.0,2.927
2014-11-10,1.1538,2.5352,1.1312,0.96332,22.093,0.8009,0.62886,245.91,12175,61.505,114.18,1085.64,13.53,6.7464,1.283,44.885,3.3755,7.3742,1.2892,32.788,2.2499,11.2074,587.09998,2094.0,2.927
2014-11-11,1.1579,2.5683,1.1389,0.9678,22.209,0.80489,0.63071,247.58,12223,61.545,115.81,1096.7,13.601,6.8307,1.2885,44.935,3.3995,7.3976,1.294,32.878,2.2647,11.2845,590.54999,2108.0,2.928
2014-11-12,1.1485,2.5616,1.1317,0.96439,22.141,0.80212,0.63207,246.54,12185,61.43,115.21,1095.15,13.61,6.7711,1.2719,44.862,3.3843,7.4022,1.2898,32.842,2.2604,11.2381,593.96997,2115.0,2.935
2014-11-13,1.1443,2.5737,1.1329,0.96484,22.193,0.80283,0.6352,245.95,12189,61.52,115.5,1092.77,13.5873,6.7891,1.2657,44.879,3.3945,7.4215,1.2914,32.805,2.2522,11.2243,595.23999,2129.0,2.9345
2014-11-14,1.1528,2.6222,1.1382,0.96615,22.236,0.80412,0.63879,246.16,12228,61.816,116.55,1103.34,13.625,6.7972,1.2728,45.039,3.401,7.4281,1.2993,32.86,2.2439,11.1962,593.20001,2158.0,2.935
2014-11-17,1.1453,2.6113,1.131,0.96135,22.168,0.80026,0.63932,244.89,12197,61.828,116.28,1096.46,13.5675,6.7574,1.2624,44.966,3.3801,7.3983,1.2978,32.765,2.229,11.1185,595.84998,2157.0,2.931
2014-11-18,1.1461,2.6005,1.1291,0.95996,22.117,0.79911,0.6388,244.16,12114,61.751,116.6,1098.04,13.5585,6.7357,1.2552,44.988,3.3675,7.3828,1.2977,32.768,2.223,11.0343,597.15997,2149.80005,2.928
2014-11-19,1.1577,2.5872,1.1349,0.95844,22.085,0.79777,0.63793,243.16,12160,61.994,117.63,1109.88,13.585,6.7754,1.2724,45.195,3.3653,7.3872,1.3041,32.817,2.2338,11.058,600.72998,2150.0,2.929
2014-11-20,1.1616,2.5522,1.1325,0.95813,22.057,0.79751,0.63713,242.94,12149,61.93,118.23,1114.08,13.6043,6.7725,1.2731,45.067,3.3607,7.4001,1.3021,32.815,2.2294,10.9906,599.59998,2160.0,2.925
2014-11-21,1.1477,2.5485,1.126,0.96796,22.267,0.80502,0.63766,245.18,12079,61.655,117.9,1111.45,13.6135,6.7638,1.2624,44.914,3.3849,7.43,1.2971,32.735,2.2215,10.919,593.90002,2140.0,2.921
2014-11-24,1.1593,2.5317,1.125,0.96914,22.234,0.8058,0.63787,245.58,12142,61.909,118.31,1116.41,13.6218,6.7744,1.2709,44.977,3.3798,7.4453,1.3037,32.826,2.228,10.991,595.62,2149.5,2.911
2014-11-25,1.1722,2.5211,1.1271,0.96829,22.201,0.80489,0.6382,246.15,12156,61.892,118.05,1109.93,13.6586,6.8118,1.2844,44.963,3.3699,7.4583,1.3033,32.813,2.2275,11.0,598.77002,2168.0,2.917
2014-11-26,1.1757,2.5122,1.1268,0.96401,22.107,0.8016,0.63403,245.77,12180,61.85,117.76,1108.34,13.68,6.8216,1.2762,44.97,3.3508,7.416,1.3013,32.78,2.2194,10.9707,598.76001,2164.0,2.914
2014-11-27,1.1667,2.5117,1.1249,0.9633,22.123,0.80128,0.63462,246.11,12167,61.875,117.52,1099.67,13.7232,6.8886,1.2666,44.867,3.3492,7.4209,1.2982,32.77,2.2167,10.9642,600.71002,2162.19995,2.914
2014-11-28,1.1734,2.5499,1.1397,0.96275,22.152,0.80109,0.63711,245.78,12245,62.122,118.31,1109.97,13.8355,6.9675,1.272,44.978,3.3517,7.4229,1.3032,32.838,2.2105,11.0268,607.94,2216.5,2.918
2014-12-01,1.1774,2.5656,1.1399,0.96463,22.156,0.80199,0.63574,245.75,12285,62.039,118.39,1107.87,13.9123,6.9569,1.2702,44.806,3.3509,7.4234,1.306,32.848,2.2193,11.0307,611.92999,2267.5,2.9225
2014-12-02,1.1848,2.5656,1.1369,0.96909,22.219,0.80489,0.63876,247.05,12292,61.883,119.19,1112.56,14.019,7.0002,1.2785,44.792,3.3513,7.469,1.3073,32.86,2.2259,11.0672,614.02002,2298.0,2.939
2014-12-03,1.1856,2.5573,1.1381,0.97575,22.401,0.81096,0.63758,248.74,12301,61.81,119.37,1114.14,14.08,7.0197,1.2881,44.618,3.3734,7.5187,1.3096,32.853,2.236,11.1745,609.03998,2292.0,2.9412
2014-12-04,1.1934,2.5772,1.137,0.97758,22.432,0.81228,0.63853,249.29,12313,61.901,119.93,1115.7,14.1128,7.0839,1.2906,44.55,3.3802,7.5337,1.3148,32.912,2.2383,11.1803,609.41998,2292.0,2.9412
2014-12-05,1.1944,2.575,1.1394,0.97242,22.355,0.80893,0.63752,248.54,12313,61.785,120.55,1114.54,14.1555,7.1271,1.2885,44.591,3.3674,7.5222,1.318,32.937,2.2375,11.2258,612.29999,2318.19995,2.951
2014-12-08,1.2065,2.5923,1.1443,0.98083,22.525,0.81579,0.63999,250.08,12363,61.92,121.1,1115.72,14.385,7.1769,1.3083,44.686,3.3946,7.5916,1.3217,33.052,2.2798,11.5209,611.09998,2323.0,2.9555
2014-12-09,1.2049,2.6064,1.1453,0.97187,22.328,0.80847,0.63881,247.19,12346,61.963,119.67,1108.29,14.3981,7.123,1.3018,44.562,3.3634,7.5191,1.3178,32.93,2.2589,11.4525,613.70001,2352.0,2.964
2014-12-10,1.198,2.5908,1.1448,0.9703,22.287,0.80697,0.63731,247.91,12346,62.075,118.89,1105.5,14.4078,7.1631,1.2939,44.585,3.3585,7.5271,1.3124,32.81,2.2595,11.4937,615.59998,2367.0,2.956
2014-12-11,1.2115,2.6225,1.1491,0.96653,22.234,0.80463,0.63783,247.94,12379,62.411,118.44,1101.17,14.5255,7.2465,1.2787,44.466,3.3632,7.5294,1.3134,32.823,2.2653,11.5373,617.02002,2407.0,2.969
2014-12-12,1.2093,2.6563,1.158,0.96466,22.161,0.80321,0.63655,248.14,12513,62.464,118.4,1102.18,14.869,7.3245,1.2808,44.506,3.3522,7.5261,1.3098,32.79,2.291,11.628,618.37,2405.0,2.963
2014-12-15,1.2174,2.6703,1.1594,0.9666,22.183,0.80476,0.63866,248.12,12854,63.24,118.84,1101.67,14.7777,7.3849,1.2926,44.696,3.3625,7.5725,1.3135,32.94,2.3358,11.6452,619.08002,2398.0,2.9625
2014-12-16,1.2129,2.7276,1.1655,0.95788,22.02,0.79764,0.63532,249.05,12878,63.987,116.29,1080.07,14.7875,7.6111,1.2802,44.762,3.3549,7.6182,1.3011,32.944,2.3767,11.6498,620.33002,2454.0,2.97
2014-12-17,1.2213,2.7304,1.1634,0.96481,22.193,0.80334,0.63721,252.59,12660,63.622,117.2,1095.23,14.741,7.4313,1.2912,44.787,3.3948,7.6333,1.3052,32.965,2.3562,11.7055,616.20001,2425.0,2.967
2014-12-18,1.2214,2.6681,1.1598,0.98103,22.471,0.814,0.64021,256.19,12569,63.066,118.81,1096.59,14.499,7.3785,1.2911,44.747,3.4532,7.681,1.3145,32.866,2.3226,11.549,613.98999,2318.3999,2.944
2014-12-19,1.2226,2.6488,1.1596,0.98045,22.507,0.8144,0.63906,257.72,12424,63.305,119.24,1099.37,14.528,7.3414,1.2859,44.741,3.4806,7.7062,1.315,32.87,2.3253,11.6025,610.79999,2300.0,2.935
2014-12-22,1.2282,2.6474,1.163,0.98173,22.529,0.81573,0.64026,257.22,12445,63.2,119.96,1096.19,14.5695,7.3876,1.2891,44.639,3.4803,7.7931,1.3191,32.859,2.3185,11.59,608.34998,2310.0,2.9685
2014-12-23,1.2304,2.6609,1.1638,0.98518,22.648,0.8188,0.64415,257.05,12451,63.292,120.2,1102.58,14.6503,7.3929,1.2914,44.676,3.5016,7.7811,1.3216,32.903,2.326,11.6048,609.95001,2340.0,2.96
2014-12-24,1.2319,2.6942,1.1592,0.98412,22.733,0.8184,0.64367,258.68,12452,63.474,120.36,1102.83,14.7412,7.4892,1.2936,44.681,3.5255,7.8075,1.3225,32.874,2.3251,11.662,608.25,2350.0,2.9795
2014-12-29,1.2269,2.673,1.1628,0.98614,22.724,0.81987,0.64294,258.0,12404,63.676,120.49,1099.51,14.6988,7.4178,1.2826,44.731,3.5273,7.89,1.3228,32.978,2.3213,11.6059,,,
2014-12-30,1.2235,2.664,1.1622,0.98914,22.803,0.82237,0.64334,259.03,12418,63.461,119.58,1097.2,14.7445,7.4359,1.2776,44.753,3.5447,7.7916,1.3228,32.91,2.3509,11.6354,607.0,2391.0,2.9855
2014-12-31,1.2214,2.6527,1.1583,0.99036,22.844,0.82366,0.64155,259.9,12417,63.19,119.62,1091.18,14.717,7.4475,1.2787,44.837,3.5196,7.7366,1.3226,32.872,2.3326,11.5603,606.40002,2391.0,2.9855
2015-01-02,1.2323,2.6931,1.1682,0.99826,22.995,0.83036,0.64768,264.68,12516,63.356,120.58,1106.24,14.825,7.5081,1.2961,44.807,3.5749,7.8637,1.3286,32.957,2.3526,11.6611,613.13,2394.0,2.967
2015-01-05,1.2384,2.7137,1.1784,1.0085,23.228,0.83928,0.6569,267.16,12613,63.463,120.02,1110.98,14.851,7.6437,1.3021,45.047,3.6071,7.9632,1.3361,32.981,2.339,11.728,617.27002,2429.0,2.982
2015-01-06,1.2288,2.6993,1.1763,1.0084,23.246,0.83935,0.65822,268.02,12668,63.572,118.93,1100.99,14.922,7.7048,1.2908,45.009,3.6155,7.9073,1.335,32.92,2.3277,11.7317,616.0,2458.0,2.983
2015-01-07,1.2391,2.6776,1.183,1.0152,23.483,0.84524,0.66123,270.08,12714,63.175,119.32,1102.43,14.775,7.7339,1.2911,45.104,3.6436,7.9443,1.3392,32.89,2.3284,11.714,613.59998,2432.0,2.987
2015-01-08,1.2337,2.7,1.1816,1.0206,23.679,0.84976,0.66375,269.42,12642,62.568,119.82,1097.57,14.7083,7.6717,1.2842,44.959,3.6456,8.0167,1.3386,32.88,2.3097,11.6343,612.58002,2413.0,2.992
2015-01-09,1.228,2.6572,1.182,1.0167,23.755,0.84653,0.6602,268.68,12634,62.324,119.2,1092.26,14.661,7.6699,1.2795,44.942,3.6146,8.0321,1.3366,32.884,2.2987,11.5682,613.98999,2416.30005,2.984
2015-01-12,1.2282,2.6562,1.1897,1.0175,23.964,0.84717,0.66003,269.43,12605,62.164,119.08,1085.42,14.6522,7.7325,1.2896,44.927,3.6229,8.0829,1.3364,32.885,2.295,11.5263,616.25,2414.0,2.9915
2015-01-13,1.2257,2.6433,1.1966,1.0194,24.109,0.84875,0.65923,270.13,12598,62.043,118.45,1082.8,14.6125,7.7364,1.2914,44.742,3.6347,8.0261,1.3355,32.847,2.281,11.4995,618.97998,2440.0,2.985
2015-01-14,1.2291,2.625,1.1965,1.02,23.974,0.84926,0.65843,271.74,12623,62.189,116.76,1085.23,14.62,7.6909,1.2951,44.626,3.6402,8.0689,1.3354,32.784,2.2893,11.5021,625.33002,2442.0,2.993
